Truck no.,Docket no.,Delivery Date, Source, Description, Paid Kms, Invoice QTY, Unit, Unit price, Total (Excl. GST), GST Payable, Total (Inc. GST),Delivery Date, Source, Description, Paid Kms, Invoice QTY, Unit, Unit price, Total (Excl. GST), GST Payable, Total (Inc. GST),Delivery Date, Source, Description, Paid Kms, Invoice QTY, Unit, Unit price, Total (Excl. GST), GST Payable, Total (Inc. GST),Delivery Date, Source, Description, Paid Kms, Invoice QTY, Unit, Unit price, Total (Excl. GST), GST Payable, Total (Inc. GST) 
10471,25526848,04/04/23,ARTARMON,11-17 Khartoum Rd Macquarie Park CARTAGE OTHER PER KM PER CU M,8.5000,6.8000,CUBIC ME,42.1400,286.55,28.66,315.21
10471,383602,05/04/23,PRESTONS,MINIMUM LOAD (3 M3),,1.3000,CUBIC ME,49.2900,64.08,6.41,70.49,05/04/23,PRESTONS,522 Henry Lawson Dr East Hills CARTAGE OTHER PER KM PER CU M,15.0000,1.7000,CUBIC ME,49.2900,83.79,8.38,92.17,05/04/23,PRESTONS,FEE SERVICE WAITING TIME PER MINUTE,,50.0000,MINUTE,1.9500,97.50,9.75,107.25,05/04/23,PRESTONS,TRUCK TRANSFER PER KM,,86.0000,KILOMET,2.2500,193.50,19.35,212.85
10471,26538356,12/04/23,NARELLAN,6 BYRNE ST APPIN CARTAGE OTHER PERKM PER CU M,24.0000,7.1000,CUBIC ME,59.1900,420.25,42.03,462.28
10471,27185011,13/04/23,FOURTH AVE,68-70 Tattersall Rd Kings Park CARTAGE OTHER PER KM PER CU M,2.5000,4.3000,CUBIC ME,36.0900,155.19,15.52,170.71,13/04/23,FOURTH AVE,TRUCK TRANSFER PER KM,,38.0000,KILOMET,2.2500,85.50,8.55,94.05
10471,27184985,13/04/23,FOURTH AVE,40 SOLENT CIRT NORWEST CARTAGE OTHER PER KM PER CU M,10.5000,7.0000,CUBIC ME,44.3400,310.38,31.04,341.42
10471,25646109,14/04/23,BROOKVALE,FEE SERVICE WAITING TIME PER MINUTE,,30.0000,MINUTE,1.9500,58.50,5.85,64.35,14/04/23,BROOKVALE,TRUCK TRANSFER PER KM,,63.0000,KILOMET,2.2500,141.75,14.18,155.93
10471,25999169,14/04/23,CITY,439 WEST BOTANY ST MOC3 KELLER ROCKDALE CARTAGE OTHER PER KM PER CU M,10.0000,6.0000,CUBIC ME,43.7900,262.74,26.27,289.01,14/04/23,CITY,TRUCK TRANSFER PER KM,,22.0000,KILOMET,2.2500,49.50,4.95,54.45
10471,25646109,14/04/23,BROOKVALE,20 Bradleys Head Rd Mosman CARTAGEOTHER PER KM PER CU M,30.0000,5.5000,CUBIC ME,65.7900,361.85,36.19,398.04
10471,25644281,06/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,1.0000,KILOMET,33.7500,33.75,3.38,37.13
10471.1,399376,13/10/22,PRESTONS,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-49.7000,(49.70),(4.97),(54.67)
10471.1,25511713,14/10/22,ARTARMON,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-39.7600,(39.76),(3.98),(43.74)
10471.1,25747756,17/10/22,BLACKTOWN,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-31.2400,(31.24),(3.12),(34.36)
10472,25644088,01/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,76.0000,KILOMET,2.2500,171.00,17.10,188.10
10472,25644169,03/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,98.0000,KILOMET,2.2500,220.50,22.05,242.55
10472,25644368,08/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,76.0000,KILOMET,2.2500,171.00,17.10,188.10
10472,25644451,10/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,76.0000,KILOMET,2.2500,171.00,17.10,188.10
10472,25645839,03/04/23,BROOKVALE,MINARTO LN NORTH NARRABEEN CARTAGEOTHER PER KM PER CU M,8.5000,1.1000,CUBIC ME,42.1400,46.35,4.64,50.99,03/04/23,BROOKVALE,MINIMUM LOAD (3 M3),,1.9000,CUBIC ME,42.1400,80.07,8.01,88.08
10472,25645825,03/04/23,BROOKVALE,28 Ethel St Balgowlah CARTAGE OTHERPER KM PER CU M,6.0000,5.1000,CUBIC ME,39.3900,200.89,20.09,220.98,03/04/23,BROOKVALE,TRUCK TRANSFER PER KM,,36.0000,KILOMET,2.2500,81.00,8.10,89.10
10472,25645839,03/04/23,BROOKVALE,TRUCK TRANSFER PER KM,,36.0000,KILOMET,2.2500,81.00,8.10,89.10,03/04/23,BROOKVALE,FEE SERVICE RETURN PER KM PER CU M,,1.1000,CUBIC ME,30.1700,33.19,3.32,36.51
10472,25848996,04/04/23,CARINGBAH,TRUCK TRANSFER PER KM,,54.0000,KILOMET,2.2500,121.50,12.15,133.65,04/04/23,CARINGBAH,FEE SERVICE WAITING TIME PER MINUTE,,15.0000,MINUTE,1.9500,29.25,2.93,32.18,04/04/23,CARINGBAH,461 Captain Cook Dr Woolooware CARTAGE OTHER PER KM PER CU M,4.0000,4.0000,CUBIC ME,37.1900,148.76,14.88,163.64
10472,383566,05/04/23,PRESTONS,FEE SERVICE WAITING TIME PER MINUTE CU M,,15.0000,MINUTE,1.9500,29.25,2.93,32.18,05/04/23,PRESTONS,615 CABRAMATTA RD CABRAMATTA WEST CARTAGE OTHER PER KM PER,10.0000,6.6000,CUBIC ME,43.7900,289.01,28.90,317.91,05/04/23,PRESTONS,TRUCK TRANSFER PER KM,,37.0000,KILOMET,2.2500,83.25,8.33,91.58
10472,383587,05/04/23,PRESTONS,Buchan Ave Edmondson Park CARTAGEOTHER PER KM PER CU M,5.5000,6.8000,CUBIC ME,38.8400,264.11,26.41,290.52,05/04/23,PRESTONS,FEE SERVICE WAITING TIME PER MINUTE,,20.0000,MINUTE,1.9500,39.00,3.90,42.90
10472,383605,05/04/23,PRESTONS,14 WILBERFORCE ST ASHCROFT CARTAGEOTHER PER KM PER CU M,6.0000,6.8000,CUBIC ME,39.3900,267.85,26.79,294.64,05/04/23,PRESTONS,TRUCK TRANSFER PER KM,,37.0000,KILOMET,2.2500,83.25,8.33,91.58,05/04/23,PRESTONS,FEE SERVICE WAITING TIME PER MINUTE,,5.0000,MINUTE,1.9500,9.75,0.98,10.73
10472,26538355,12/04/23,NARELLAN,33 COLONIAL ST CAMPBELLTOWN CARTAGEOTHER PER KM PER CU M,11.5000,3.4000,CUBIC ME,45.4400,154.50,15.45,169.95
10472,26538370,12/04/23,NARELLAN,20 PARTRIDGE ST BRADBURY CARTAGE OTHER PER KM PER CU M,11.5000,7.0000,CUBIC ME,45.4400,318.08,31.81,349.89
10472,26538363,12/04/23,NARELLAN,29 HEFFERNAN ST CATHERINE FIELD CARTAGE OTHER PER KM PER CU M,8.0000,5.3000,CUBIC ME,41.5900,220.43,22.04,242.47
10472,27396568,13/04/23,AUBURN,250-252  MERRYLANDS RD MERRYLANDS CARTAGE OTHER PER KM PER CU M,5.5000,6.4000,CUBIC ME,38.8400,248.58,24.86,273.44
10472,26721324,13/04/23,SMITHFIELD,28-54 Percival Rd Smithfield CARTAGE OTHER PER KM PER CU M,1.5000,4.0000,CUBIC ME,36.0900,144.36,14.44,158.80
10472,25644415,09/02/23,BROOKVALE,TRUCK TRANSFER PER KM,,1.0000,KILOMET,9.0000,9.00,0.90,9.90
10472.2,25974134,26/08/22,CITY,TRUCK TRANSFER PER KM,,50.0000,KILOMET,1.5400,77.00,7.70,84.70
10472.2,25640094,02/09/22,BROOKVALE,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-17.7500,(17.75),(1.78),(19.53),02/09/22,BROOKVALE,BLUEFISH DR MANLY CARTAGE OTHER PERKM PER CU M,6.5000,1.0000,CUBIC ME,0.0300,0.03,0.00,0.03
10472.2,25901661,10/10/22,CARINGBAH,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-38.3400,(38.34),(3.83),(42.17)
10472.2,25979468,10/10/22,CITY,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-60.3500,(60.35),(6.04),(66.39)
10472.2,25979988,13/10/22,CITY,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-35.5000,(35.50),(3.55),(39.05)
10472.2,25641344,20/10/22,BROOKVALE,TRUCK TRANSFER PER KM,,1.0000,KILOMET,-48.2800,(48.28),(4.83),(53.11)
10473,27183353,07/02/23,FOURTH AVE,TRUCK TRANSFER PER KM,,38.0000,KILOMET,2.2500,85.50,8.55,94.05
10473,381068,09/02/23,PRESTONS,TRUCK TRANSFER PER KM,,70.0000,KILOMET,2.2500,157.50,15.75,173.25
